Power,Bots,Personal,Punishment,Misc,School,Affiliation,Status,Year,Pronouns,Award,Ping,Major,Building,Pre-Professional,Pride
@owoner,@TerrierBot,@⟡ nezzy,@QUARANTINED,@BIRTHDAY TERRIER!,@PAR,@Alum,@Committed,@'10,@He/Him,@🏆Most Helpful🏆,@Eventee,@Behavior & Health,@Warren Towers,@Pre-Law,@cishet
@Moderator,@Nothing,@Catboy,@PRISONER,@all,@ENG.,@Graduate,@Waiting,@'11,@She/Her,@🏆Most Chaotic🏆,@Pollee,@Health Science,@West Campus,@Pre-Health,@Pride!
@2030 Friend,@Floofinator,@⟡ losos,@INTERVENTION,@1000!,@ENG,@Undergraduate,@Accepted,@'12,@They/Them,@🏆Most Funny🏆,@Foodee,@Human Physiology,@The Towers,,@Pride!
@Welcomer,@carl-bot,@⟡ bawt,@SUS,@politics,@CFA,@Prospective,,@'13,@Any Pronouns,@🏆Most Likely to Send a Paragraph🏆,@HungryLoner,@Nutrition/Dietetics,@Danielsen Hall,,@Pride!
@Event Coordinator,@Dyno,@⟡ momo,,@Server Booster,@QST,@Friend of BU,,@'14,@Ask my Pronouns,@🏆Most Unpredictable🏆,@FitnessFriend,@Occupational and Physical Therapy,@Kilachand Hall,,@Pride!
@Pole Master,@Birthday Bot,@⟡ bianca,,,@COM,@NEU Splendid Friend,,@'15,,@🏆Most Chronically Online🏆,@StudyBuddy,@Music,@610 Beacon Street,,@Pride!
@MC Deity,@Statbot,@⟡ cheese,,,@CDS,,,@'16,,@🏆Most Likely to be Banned🏆,@MC,@Theatre,@1019 Comm Ave,,@Pride!
,@sesh,@⟡ emmie,,,@SAR,,,@'17,,,@Val,@Visual Arts,@HoJo,,@Pride!
,@counting,@⟡ cosmatic,,,@WED,,,@'18,,,@Summer Local!,@Printmaking,@East/Central Brownstone,,@Pride!
,@One Word Story,@⟡ splatuna,,,@SHA,,,@'19,,,@Celsius Scavenger,@Anthropology,@Bay State Brownstone,,@Pride!
,@.fmbot,@⟡ leo,,,@CGS,,,@'20,,,,@Archaeology,@South Brownstone,,@Pride!
,@TeXit,@⟡ ash,,,@KHC,,,@'21,,,,@Astronomy,@East Campus Apartment,,@trans
,@Confessions,@⟡ vivi,,,@MET,,,@'22,,,,@Biology,@Bay State Apartment,,
,@Hans Bot,@⟡ olive,,,@GRS,,,@'23,,,,@Chemistry,@South Campus Apartment,,
,@Ticket Tool,@⟡ sky,,,@SPH,,,@'24,,,,@Cinema & Media Studies,@StuVi 1,,
,@JakeBot Translation,@⟡ jason,,,@SSW,,,@'25,,,,@Computer Science,@StuVi 2,,
,@Forms,@⟡ shiro,,,@CAS,,,@'26,,,,@Biomedical Engineering,@Fenway CCSR,,
,@HaikuBot,@⟡ kai,,,@STH,,,@'27,,,,@Earth & Environmental Sciences,@Fenway Riverway House,,
,@TTS Bot,@⟡ kit,,,@SDM,,,@'28,,,,@Environmental Analysis & Policy,@Fenway Pilgrim House,,
,,@⟡ naj,,,@GMS,,,@'29,,,,@English,@Fenway Longwood House,,
,,@⟡ delu,,,@MED,,,@'30,,,,@History,@Fenway Peabody House,,
,,@⟡ pepi,,,@LAW,,,@'31,,,,@History of Art & Architecture,@Off-Campus,,
,,@⟡ albert,,,,,,@Veteran Alum,,,,@Marine Science,@Commuter,,
,,@⟡ snowyy,,,,,,,,,,@Mathematics and Statistics,,,
,,@⟡ hannah,,,,,,,,,,@Philosophy,,,
,,@⟡ flexseal,,,,,,,,,,@Neuroscience,,,
,,@⟡ vaiku,,,,,,,,,,@Physics,,,
,,@⟡ fance,,,,,,,,,,@Political Science,,,
,,@⟡ ra,,,,,,,,,,@Religion,,,
,,@⟡ ato,,,,,,,,,,@Psychology,,,
,,@⟡ smug,,,,,,,,,,@Sociology,,,
,,@⟡ keira,,,,,,,,,,@Language & Linguistics,,,
,,@⟡ nghi,,,,,,,,,,"@Women’s, Gender & Sexuality Studies",,,
,,@feefster,,,,,,,,,,@Cultural Studies,,,
,,@welcoming <3,,,,,,,,,,@Film & TV,,,
,,@2030 Amiga,,,,,,,,,,@Advertising,,,
,,@GOWOD,,,,,,,,,,@Journalism,,,
,,,,,,,,,,,,@Public Relations,,,
,,,,,,,,,,,,@Computer Engineering,,,
,,,,,,,,,,,,@Electrical Engineering,,,
,,,,,,,,,,,,@Materials Science & Engineering,,,
,,,,,,,,,,,,@Mechanical Engineering,,,
,,,,,,,,,,,,@Robotics,,,
,,,,,,,,,,,,@Architectural Studies,,,
,,,,,,,,,,,,@Classical Studies,,,
,,,,,,,,,,,,@Economics,,,
,,,,,,,,,,,,@Accounting,,,
,,,,,,,,,,,,@Finance,,,
,,,,,,,,,,,,@Marketing,,,
,,,,,,,,,,,,@Biochemistry & Molecular Biology,,,
,,,,,,,,,,,,@Applied Data Analytics,,,
,,,,,,,,,,,,@Business Analytics,,,
,,,,,,,,,,,,@Public Health,,,
,,,,,,,,,,,,@LEAP,,,
,,,,,,,,,,,,@Undecided,,,
,,,,,,,,,,,,@Graphic Design,,,
