Course Number,Course Name,Prerequisites,Description,PLM,AEX,HCO,SI1,SI2,SO1,SO2,QR1,QR2,IIC,GCI,ETR,WIN,OSC,DME,CRT,RIL,TWC,CRI
CAS AA 103,Introduction to African American Literature,First-Year Writing Seminar (WR 120 or equivalent),"What is the African American literary tradition? In this course, we will read poetry, slave narratives, essays, speeches, tales, short stories, and novels and consider how culture, politics, and history shape African American literature. Carries humanities divisional credit in CAS.",,,,,,,,,,,X,,X,,,X,,,
CAS AA 112,Black Power in the Classroom: The History of Black Studies,,"Centers Black experiences, cultures, knowledge production and identity formation in the United States and in the African Diaspora across time and space. Examines and traces the genealogies of Black Studies as a discipline: its political, ideological, and practical foundations on college campuses and in communities. Also explores earlier traditions and contemporary work in Black radical thought and activism that lay the groundwork for and build on the founding principles of Black Studies by mobilizing an intersectional and diasporic lens.",,,X,X,,,,,,,,,,,,,X,,
CAS AA 114,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America",,This course introduces the arts of Africa and Latin America. It explores the rich diversity of each continent's artistic production and highlights the impact of their intertwining histories on visual expression in the wake of transcontinental exchange and globalization.,,X,,,,,,,,,X,,,,,X,,,
CAS AA 132,Write Back Soon: Blackness and the Prison,,"This course interrogates the theme of black containment from slavery and Jim Crow to, principally, mass incarceration. Students explore the topic alongside the development of open letter writing skills. This form explores the persuasive impact of personal relationships and the politics of public vulnerabilities. Readings include letters to and from prison, documentaries, poetry, short stories, anthologies, memoirs, comics, visual art, and critical interventions. We also look at contemporary projects organizing for abolition and prisoner support.",,X,,,,,,,,X,,,,,,X,,,
CAS AA 207,Sociology of Race and Ethnicity,,Examines the fundamental theoretical and empirical approaches regarding race/ethnicity and the current state of race relations in the U.S. that explore both contemporary social problems.,,,X,,,,,,,X,,,,,,,X,,
CAS AA 215,Arts of Africa and Its Diaspora,,"Exploration of a diversity of visual and performing arts from Africa, including royal regalia, masquerades, and contemporary painting. Examines how the dispersal of Africans, due to the transatlantic slave trade and immigration, contributed to the cultural richness of the Americas.",,X,,,,,,,,,X,,,,,X,,,
CAS AA 221,Catastrophe and Memory,,"Examines the ways in which catastrophes, both natural and social, enter into cultural memory. Goal is to understand how events that seem to defy comprehension are represented in works of art and given a place in the memory of a culture.",,X,X,,,,,,,,,,,,,,X,,
CAS AA 225,Topics in Religion and Music,,"May be repeated for credit as topics change. Topic for Fall 2019: Religion and Hip Hop Culture. Considers an often overlooked element in the study of hip hop culture, religion. Specifically, the course offers students the opportunity to examine the variety of ways that religion finds expression in the dynamic cultural medium of hip hop.",,,,,,,,,,,,,,,,,,,
CAS AA 234,African Americans in Global Perspective: Slavery and the Creation of Race,,A study of how chattel slavery in the Americas led to racialization as a primary tool in the creation of American society and New World capitalism.,,,,,,,,,,,X,X,,,,X,,,
CAS AA 237,Reconstructing the African Past,,Explores the richness and diversity of a continent where oral histories and environmental settings have shaped society as much as written records. Considers Africa's critical place in the world from ancient Egypt and Ghana to the Asante and Ethiopian empires. Carries social science divisional credit in CAS.,,,X,,,,,,,,X,,,,,,,,
CAS AA 238,Modern Africa,,"Provides an introduction to African history over the past 175 years, including the end of slavery, colonial rule and anti-colonial revolt, decolonization and nationalism, and the opportunities and challenges of life in postcolonial Africa.",,,,X,,,,,,,X,,,,,,,,
